state_time,varied_value,est_stride_dur,actual_stride_dur
79112,25.3,990,1000
80112,25.3,1000,1000
81102,25.3,1000,990
82072,25.3,1000,970
83052,28.3,990,980
84072,28.3,990,1020
85052,28.3,980,980
86052,28.3,980,1000
87052,28.3,1000,1000
100052,25.3,1010,1010
101052,25.3,1010,1010
102062,25.3,1010,1010
103072,25.3,1010,1010
104062,25.3,1010,990
105072,29.3,1010,1010
106062,29.3,1010,990
107032,29.3,990,970
108012,29.3,990,980
109002,29.3,990,990
145202,25.3,1000,1000
146202,25.3,1000,1010
147192,25.3,1000,990
148182,25.3,1000,990
149172,25.3,990,990
150182,25.3,990,1010
151172,25.3,990,990
152162,25.3,990,990
153152,25.3,990,990
154152,25.3,990,1000
170982,28.3,990,990
171962,28.3,990,990
172932,28.3,990,970
173932,28.3,990,1000
174912,28.3,990,980
175892,25.3,980,980
176882,25.3,980,990
177872,25.3,990,990
178872,25.3,990,1000
179862,25.3,990,990
